gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	anum	num	min	lower_hinge	median	upper_hinge	max	mean	clusterID
A2M	1.64492205620782e-34	-0.303098053669797	0.453	0.556	3.28408688521891e-30	1613	651	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.89037175789616	1.08866991484778	0
ABCA10	4.64864109936507e-204	0.276654733467101	0.277	0.024	9.28101195488236e-200	1613	474	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.79175946922805	0.811665107489536	0
ABCA6	0	0.568003207448932	0.544	0.069	0	1613	859	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.937322833262808	0
ABCA8	0	0.679375410489169	0.658	0.098	0	1613	1130	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.484906649788	1.05292923952151	0
ABCA9	1.42547925090842e-287	0.451555852259044	0.413	0.045	2.84596932443866e-283	1613	685	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.30258509299405	0.91454072418049	0
ABI3BP	5.3845508227033e-238	0.389340398969038	0.463	0.086	1.07502557175271e-233	1613	759	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.30258509299405	0.872126805905781	0
ACKR1	1.90287989240989e-70	-1.12268738475579	0.06	0.182	3.79909970519635e-66	1613	120	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	3.04452243772342	0.879524453798234	0
ACTA2	1.53384779888001e-128	-2.21225365152542	0.396	0.494	3.06232713046394e-124	1613	655	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	4.33073334028633	0.956013992573042	0
ACTB	2.50636221646344e-64	-0.560057520890211	1	0.995	5.00395216516926e-60	1613	1613	0.693147180559945	2.70805020110221	3.09104245335832	3.40119738166216	4.72738781871234	3.00945713988405	0
ACTG2	3.14562721965296e-40	-0.392207572477039	0.013	0.105	6.28024474403713e-36	1613	21	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.794703659426548	0
ACTN1	3.06052919333549e-70	-0.46475793265899	0.225	0.406	6.11034653449431e-66	1613	337	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.6094379124341	0.83839115199716	0
ACTN4	1.8921336628652e-99	-0.445885479664149	0.179	0.421	3.77764485791036e-95	1613	323	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.761909003691322	0
ACTR3	1.17901145174682e-49	-0.252063368635814	0.345	0.497	2.35389636341253e-45	1613	596	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.794736277001726	0
ACVRL1	1.59977377384793e-100	0.260751595937756	0.341	0.109	3.19394833948739e-96	1613	517	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.79175946922805	0.822225149811787	0
ADAMTS9	1.6992757740475e-64	-0.287469140646789	0.013	0.144	3.39260408288584e-60	1613	37	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.827161215504736	0
ADD3	4.61133052232544e-260	0.514515180025143	0.618	0.175	9.20652138782273e-256	1613	1026	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	2.63905732961526	1.00010115542094	0
ADGRL4	4.9004710191347e-66	-0.324109098289856	0.016	0.151	9.78379038970243e-62	1613	32	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.781454469208651	0
ADH1B	0	1.52804747924861	0.951	0.252	0	1613	1465	0.693147180559945	1.6094379124341	2.07944154167984	2.63905732961526	4.11087386417331	2.05727621719977	0
ADIRF	8.35277453384286e-179	-1.18009055334459	0.743	0.706	1.66763143568173e-174	1613	1190	0.693147180559945	0.693147180559945	1.38629436111989	1.6094379124341	3.29583686600433	1.31664725317677	0
ADM	1.19365308316081e-114	0.472727736945333	0.286	0.082	2.38312838053057e-110	1613	360	0.693147180559945	0.693147180559945	0.693147180559945	1.38629436111989	3.13549421592915	1.11955134481736	0
AGT	2.66310840214652e-38	-0.294089281843639	0.041	0.154	5.31689592488552e-34	1613	68	0.693147180559945	0.693147180559945	0.693147180559945	0.895879734614027	2.39789527279837	0.841336699484304	0
AIF1	3.6239917409569e-118	-1.0956345366203	0.035	0.248	7.23529951082044e-114	1613	60	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.89037175789616	0.796763518602733	0
AKAP12	3.90777302209219e-148	0.37120704209336	0.556	0.208	7.80186883860706e-144	1613	879	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.30258509299405	0.953923097366418	0
AKR1C1	3.12444788418008e-297	0.593487152294247	0.601	0.139	6.23796020076552e-293	1613	927	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	2.56494935746154	1.00838359842173	0
ALDH1A1	6.7009414422511e-182	0.411963042840148	0.534	0.162	1.33784295894543e-177	1613	794	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.63905732961526	0.942883490563453	0
ALDH2	1.21193226618293e-305	0.696118932421752	0.75	0.321	2.41962276943421e-301	1613	1175	0.693147180559945	0.693147180559945	1.09861228866811	1.6094379124341	2.94443897916644	1.20408505523963	0
ALOX5AP	1.79944970329155e-115	-0.618744309483503	0.026	0.252	3.59260133262158e-111	1613	41	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.79175946922805	0.78184872819348	0
ANG	1.22793516294669e-134	0.309706314986611	0.433	0.142	2.45157255282306e-130	1613	712	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.830545315821743	0
ANGPTL4	7.68052093682677e-96	0.375861316325556	0.463	0.192	1.53341600503746e-91	1613	832	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	3.36729582998647	1.13427077452583	0
ANXA1	2.93465504822177e-101	0.349732136226331	0.924	0.719	5.85903880377477e-97	1613	1503	0.693147180559945	1.09861228866811	1.6094379124341	1.94591014905531	3.29583686600433	1.56924125606408	0
ANXA2	4.46472566548815e-74	0.253262718846259	0.938	0.758	8.9138247911471e-70	1613	1524	0.693147180559945	1.38629436111989	1.79175946922805	2.07944154167984	3.58351893845611	1.70213583815726	0
AOX1	5.92819351423729e-266	0.384919549265467	0.342	0.028	1.18356383511748e-261	1613	538	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.871497122969763	0
AP1S2	1.02604848043829e-74	-0.311144084792891	0.102	0.307	2.04850579119505e-70	1613	189	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	0.729617587109357	0
APOC1	4.51105941025019e-07	-0.373893931806927	0.081	0.112	0.00900633011256451	1613	136	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.921501465190152	0
APOD	0	2.22540217053111	0.995	0.42	0	1613	1572	0.693147180559945	3.04452243772342	4.04305126783455	4.80402104473326	6.73221070646721	3.84625338594931	0
APOE	1.53895234613749e-31	0.396455666026706	0.406	0.293	3.0725183590635e-27	1613	654	0.693147180559945	1.09861228866811	2.30258509299405	3.17805383034795	4.77068462446567	2.21941090461417	0
APOLD1	8.26400639545927e-93	-0.392915057243283	0.024	0.217	1.64990887685344e-88	1613	48	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.79175946922805	0.766718075087385	0
APP	1.45474543904374e-88	0.298335142036336	0.741	0.46	2.90439926905083e-84	1613	1193	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.39789527279837	1.12903151513313	0
AQP1	7.12093616639721e-143	-0.856880622012491	0.055	0.332	1.4216949056212e-138	1613	113	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.30258509299405	0.866506493832666	0
AREG	9.04170683035173e-40	-0.43157190417682	0.02	0.117	1.80517676867972e-35	1613	37	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.6094379124341	0.845894923087437	0
ARF4	1.05319007093911e-98	0.342500646887697	0.737	0.483	2.10269397662993e-94	1613	1183	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.19722457733622	1.08094221177801	0
ARHGDIB	3.38736423369488e-75	-0.395997820422999	0.493	0.584	6.76287269257182e-71	1613	693	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.870885958600368	0
ARID5B	0	0.670879683325505	0.888	0.367	0	1613	1385	0.693147180559945	1.09861228866811	1.38629436111989	1.79175946922805	2.70805020110221	1.40096967922281	0
ARL4D	5.42175780959846e-145	0.385800124069075	0.367	0.095	1.08245394668633e-140	1613	650	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.70805020110221	0.976472535766852	0
ARL6IP5	8.67435358873057e-152	0.426094965785954	0.847	0.572	1.73183469399006e-147	1613	1306	0.693147180559945	1.09861228866811	1.09861228866811	1.6094379124341	2.30258509299405	1.22435382342578	0
ARPC2	1.41624871687583e-110	-0.431947034344919	0.613	0.748	2.82754056324259e-106	1613	1028	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.943344585720706	0
